species,n_images,mean_dominant_fraction,mean_hue_dispersion,mean_n_significant_colors,prop_solid,mean_elongated_region_count,mean_periodicity_strength,prop_striped,mean_spot_count,mean_spot_area_fraction,prop_spotted
Acanthurus_achilles,21,0.5741748308155024,0.2479704780556125,3.5714285714285716,0.2857142857142857,6.571428571428571,0.10306480594903068,0.38095238095238093,3.4285714285714284,0.0035713275143328367,0.047619047619047616
Acanthurus_bariene,11,0.4916101039844847,0.1819675174060137,3.5454545454545454,0.5454545454545454,4.0,0.08446687919682505,0.18181818181818182,5.181818181818182,0.002396136493820041,0.18181818181818182
Acanthurus_blochii,6,0.5693676811413872,0.04998877564924181,2.3333333333333335,1.0,0.6666666666666666,0.09112073742609623,0.0,2.6666666666666665,0.0019119946638829176,0.0
Acanthurus_chirurgus,18,0.4885903318860421,0.14211427168520854,3.2222222222222223,0.7777777777777778,3.6666666666666665,0.08006468824331518,0.05555555555555555,6.5,0.004178440066862687,0.16666666666666666
Acanthurus_dussumieri,21,0.4894448613970687,0.1889354956535812,3.5714285714285716,0.5714285714285714,6.333333333333333,0.09137135777304935,0.19047619047619047,6.571428571428571,0.004793866640765212,0.14285714285714285
Acanthurus_guttatus,16,0.5148785378594636,0.11819716038968797,3.1875,0.9375,2.625,0.0969667103293973,0.0,7.8125,0.004825802623777697,0.25
Acanthurus_japonicus,16,0.434705820593247,0.32475160670617387,4.0,0.125,3.875,0.07686283631449355,0.0,2.9375,0.004353015505338222,0.0
Acanthurus_leucocheilus,12,0.5156018669677164,0.11138215358901145,2.6666666666666665,1.0,4.083333333333333,0.08098366658558856,0.16666666666666666,8.583333333333334,0.003988849177300744,0.3333333333333333
Acanthurus_leucosternon,14,0.5425671653847228,0.36160179243385376,3.7142857142857144,0.14285714285714285,3.9285714285714284,0.09579928118174649,0.14285714285714285,3.0,0.005494223814950954,0.0
Acanthurus_lineatus,15,0.3951000344571044,0.41032952402862044,3.933333333333333,0.0,29.6,0.07835900601260162,1.0,2.7333333333333334,0.005061272630340837,0.0
Acanthurus_mata,15,0.43355253080541806,0.16050474524330952,3.3333333333333335,0.6666666666666666,10.6,0.08563703628985611,0.3333333333333333,4.466666666666667,0.003494973060547573,0.0
Acanthurus_monroviae,21,0.5045031145870849,0.15936754388192725,3.0476190476190474,0.6666666666666666,4.714285714285714,0.08617473657432155,0.23809523809523808,5.666666666666667,0.0049861189856866064,0.047619047619047616
Acanthurus_nigricans,10,0.5711382180706452,0.18530703328431924,3.4,0.6,5.6,0.08223451870557778,0.3,1.8,0.002741828279455203,0.0
Acanthurus_nigricauda,15,0.48282873023846135,0.14920320297726114,3.4,0.9333333333333333,5.533333333333333,0.08108108311605405,0.26666666666666666,7.2,0.003977679386516472,0.2
Acanthurus_nigrofuscus,8,0.5061071136400368,0.17130438137072604,3.375,0.5,3.125,0.08166167725099605,0.0,7.25,0.004321287084401707,0.125
Acanthurus_nubilus,15,0.40563179140696476,0.1673734319454322,3.6666666666666665,0.7333333333333333,18.6,0.08034607976791576,0.6,7.4,0.003539413222704815,0.2
Acanthurus_olivaceus,18,0.5141439898804722,0.15968025250755047,2.6666666666666665,0.7777777777777778,3.888888888888889,0.08516833941111625,0.05555555555555555,6.555555555555555,0.003958395575111375,0.2222222222222222
Acanthurus_pyroferus,10,0.41488854701002065,0.3061818442991203,3.8,0.2,1.0,0.09116500451682576,0.0,5.1,0.004590415797100116,0.1
Acanthurus_tennentii,13,0.449986504597943,0.1540878787365441,3.5384615384615383,0.7692307692307693,5.923076923076923,0.06621694459656237,0.3076923076923077,4.230769230769231,0.008439090713816206,0.07692307692307693
Acanthurus_xanthopterus,18,0.5029257650239164,0.15531407915315634,3.2777777777777777,0.7777777777777778,7.722222222222222,0.07767144386192665,0.4444444444444444,2.888888888888889,0.004669718146477096,0.0
Ctenochaetus_binotatus,20,0.4121485713929154,0.24180381278812685,3.6,0.25,4.1,0.09041628911465398,0.1,3.2,0.005192803174855557,0.0
Ctenochaetus_cyanocheilus,12,0.547318867466288,0.1841144917921748,3.0,0.6666666666666666,5.916666666666667,0.07802913163763013,0.3333333333333333,2.3333333333333335,0.00428681575749026,0.0
Ctenochaetus_flavicauda,11,0.4052374513032378,0.22079766206061427,3.4545454545454546,0.5454545454545454,5.7272727272727275,0.08528374312222152,0.18181818181818182,2.909090909090909,0.005787200118893446,0.0
Ctenochaetus_hawaiiensis,14,0.46811015467146866,0.14992509561343598,3.2142857142857144,0.7857142857142857,14.642857142857142,0.06222654887961067,0.2857142857142857,7.285714285714286,0.0035845023052323327,0.21428571428571427
Ctenochaetus_striatus,16,0.4519528536708319,0.12293024124491109,3.0,0.8125,3.625,0.07791579498189416,0.25,9.125,0.004268477397155764,0.3125
Ctenochaetus_strigosus,9,0.5766276452069693,0.1093179810635489,2.3333333333333335,0.8888888888888888,5.222222222222222,0.06879124316314196,0.3333333333333333,5.888888888888889,0.00601947670399226,0.0
Ctenochaetus_tominiensis,21,0.5268538910389668,0.22952419067440177,3.380952380952381,0.38095238095238093,2.238095238095238,0.10072342065716777,0.047619047619047616,3.9047619047619047,0.003889658231363893,0.09523809523809523
Ctenochaetus_truncatus,11,0.5460690928523015,0.14848673344698168,2.8181818181818183,0.8181818181818182,2.272727272727273,0.07165652567403889,0.0,3.6363636363636362,0.004628239966808386,0.0
Naso_annulatus,10,0.48095647521276774,0.13740693891529612,3.0,0.9,1.4,0.07228211274300896,0.0,5.6,0.004344854814405777,0.2
Naso_brachycentron,8,0.4604348797965408,0.06502713009772529,3.125,1.0,4.0,0.09085908110966204,0.0,9.5,0.0037079565939677358,0.375
Naso_brevirostris,15,0.47172213564671484,0.09983967094248748,3.1333333333333333,0.9333333333333333,3.6,0.08831938499036067,0.13333333333333333,5.733333333333333,0.0026074618226279594,0.13333333333333333
Naso_caesius,16,0.5513350572200877,0.0923667246013159,2.9375,0.875,3.875,0.0829379963701048,0.1875,7.25,0.0016314036686728812,0.25
